name,name,galg,galg-lo,galg-hi,taylor,taylor-lo,taylor-hi
10_057,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_058,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_059,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_060,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_061,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_062,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_063,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_064,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_065,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_066,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
10_067,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_068,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_069,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_070,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_071,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_072,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_073,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_074,,2,Linking pairing of double branched covering [FL19],Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_075,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
10_076,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_077,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_078,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_079,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_080,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
10_081,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_082,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_083,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_084,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_085,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_086,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_087,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
10_088,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_089,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_090,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_091,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_092,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_093,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_094,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
